cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
59631380,RN,Mossoró,Planalto Treze de Maio,Rua Farias,-5.2185409,-37.3405513,brasilapi,brasilapi,2026-02-23T23:49:59.304Z
60135285,CE,Fortaleza,Aldeota,Rua Rocha Lima,-3.7358645,-38.5238802,brasilapi,brasilapi,2026-02-23T23:49:59.459Z
60332490,CE,Fortaleza,Barra do Ceará,Rua do Poente,-3.6990661,-38.5809338,brasilapi,brasilapi,2026-02-23T23:49:59.499Z
60411136,CE,Fortaleza,Benfica,Avenida dos Expedicionários,-3.7458695,-38.5353431,brasilapi,brasilapi,2026-02-23T23:49:59.658Z
60540265,CE,Fortaleza,Granja Lisboa,Rua Doutor Fernando Augusto,-3.7857961,-38.6267504,brasilapi,brasilapi,2026-02-23T23:49:59.691Z
60540604,CE,Fortaleza,Granja Lisboa,Rua Mirtes Cordeiro,-3.7851459,-38.6110692,brasilapi,brasilapi,2026-02-23T23:49:59.853Z
61661152,CE,Caucaia,Granja Lisboa,Rua Mateus Lemos,-3.73611,-38.65306,brasilapi,open-meteo,2026-02-23T23:50:00.057Z
61700000,CE,Aquiraz,,,-3.9050805,-38.3896098,brasilapi,brasilapi,2026-02-23T23:50:00.051Z
62300000,CE,Viçosa do Ceará,,,-3.5667684,-41.091504,brasilapi,brasilapi,2026-02-23T23:50:00.249Z
62540000,CE,Amontada,,,-3.36167,-39.83167,brasilapi,open-meteo,2026-02-23T23:50:00.429Z
62670000,CE,São Gonçalo do Amarante,,,-3.60722,-38.96833,brasilapi,open-meteo,2026-02-23T23:50:00.636Z
62736000,CE,Paramoti,,,-4.09694,-39.23944,brasilapi,open-meteo,2026-02-23T23:50:00.810Z
63028400,CE,Juazeiro do Norte,Timbaúba,Rua Coronel Francisco Figueira Cruz,-7.21306,-39.31528,brasilapi,open-meteo,2026-02-23T23:50:01.009Z
63033410,CE,Juazeiro do Norte,José Geraldo da Cruz,Rua Francisco Firmino de Lavor,-7.21306,-39.31528,brasilapi,open-meteo,2026-02-23T23:50:01.213Z
63041100,CE,Juazeiro do Norte,Triângulo,Rua Maria Aurora da Conceição,-7.2290205,-39.3298862,brasilapi,brasilapi,2026-02-23T23:50:01.203Z
